ADANIENT	ADANI ENTERPRISES LIMITED
NAVKARURB	NAVKAR URBANSTRUCTURE LTD
NDLVENTURE	NDL VENTURES LIMITED
NDTV	NDTV LTD
NECLIFE	NECTAR LIFESCIENCES LTD.
NIBL	NRB INDUS. BEARINGS LTD.
NIRAJISPAT	NIRAJ ISPAT IND LTD
NOIDATOLL	NOIDA TOLL BRIDGE CO LTD
NORBTEAEXP	NORBEN TEA &EXPORTS LTD
NRAIL	N R AGARWAL INDS LTD
NRL	NUPUR RECYCLERS LIMITED
OCCLLTD	OCCL LIMITED
ODIGMA	ODIGMA CONSULTANCY SOL L
OMAXAUTO	OMAX AUTOS LTD
ONELIFECAP	ONELIFE CAP ADVISORS LTD
ONEPOINT	ONE POINT ONE SOL LTD
ONWARDTEC	ONWARD TECHNOLOGIES LTD.
ORBTEXP	ORBIT EXPORTS LIMITED
ORIENTALTL	ORIENTAL TRIMEX LTD
ORTINGLOBE	ORTIN GLOBAL LIMITED
OSIAHYPER	OSIA HYPER RETAIL LIMITED
OSWALSEEDS	SHREEOSWAL S AND CHE LTD
PALREDTEC	PALRED TECHNOLOGIES LTD
PANACHE	PANACHE DIGILIFE LIMITED
PANSARI	PANSARI DEVELOPERS LTD
PAR	PAR DRUGS AND CHEM LTD
PARSVNATH	PARSVNATH DEVELOPER LTD
PATELRMART	PATEL RETAIL LIMITED
PIGL	POWER INSTRUMENT (G) LTD
PILITA	PIL ITALICA LIFESTYLE LTD
PKTEA	THE P K TEA PROD CO LTD
PNC	PRITISH NANDY COMMUNICATI
PPAP	PPAP AUTOMOTIVE LIMITED
PRAXIS	PRAXIS HOME RETAIL LTD
PRECOT	PRECOT LIMITED
PREMIER	PREMIER LIMITED
RAJRILTD	RAJ RAYON INDUSTRIES LTD
RAMANEWS	SHREE RAMA NEWSPRINT LTD
RAMAPHO	RAMA PHOSPHATES LIMITED
RAMCOSYS	RAMCO SYSTEMS LTD
RCOM	RELIANCE COMMUNICATIONS L
RELINFRA	RELIANCE INFRASTRUCTU LTD
RELTD	RAVINDRA ENERGY LIMITED
RHFL	RELIANCE HOME FINANCE LTD
ROLLT	ROLLATAINERS LIMITED
ROML	RAJ OIL MILLS LIMITED
RPOWER	RELIANCE POWER LTD.
RSSOFTWARE	R. S. SOFTWARE (INDIA) LI
RUCHINFRA	RUCHI INFRASTRUCTURE LTD
S&SPOWER	S&S POWER SWITCHGEARS
SABEVENTS	SAB EVENTS & GOVERNANCE
SABTNL	SRI ADHIKARI BRO TELE N L
SADBHIN	SADBHAV INFRA PROJ LTD.
SADHNANIQ	SADHANA NITROCHEM LIMITED
SAKAR	SAKAR HEALTHCARE LIMITED
SCHNEIDER	SCHNEIDER ELECTRIC INFRA
SECMARK	SECMARK CONSULTANCY LTD
SEJALLTD	SEJAL GLASS LIMITED
SEMAC	SEMAC CONSTRUCTION LTD
SEYAIND	SEYA INDUSTRIES LIMITED
SGL	STL GLOBAL LIMITED
SGLTL	STANDARD GLASS LIN TECH L
SHAH	SHAH METACORP LIMITED
SHANTI	SHANTI OVERSEAS INDIA LTD
SHEMAROO	SHEMAROO ENTER. LTD.
SHILPAMED	SHILPA MEDICARE LTD
SHREYANIND	SHREYANS INDUSTRIES LTD
SHYAMCENT	SHYAM CENTURY FERROUS LTD
SHYAMTEL	SHYAM TELECOM LIMITED
SICALLOG	SICAL LOGISTICS LIMITED
SIGIND	SIGNET INDUSTRIES LIMITED
SIGMA	SIGMA SOLVE LIMITED
SIMBHALS	SIMBHAOLI SUGARS LTD.
SKMEGGPROD	SKM EGG PROD-ROLL SETT
SOMATEX	SOMA TEXTILEI NDUSTRIES L
SOUTHWEST	SOUTH WEST PINNACLE LTD
SPCENET	SPACENET ENTERS IND LTD
STCINDIA	THE STATE TRADING CORPN
SUBEXLTD	SUBEX LTD
SUMEETINDS	SUMEET IND LIMITED
SUVEN	SUVEN LIFE SCIENCES LTD
SUVIDHAA	SUVIDHAA INFOSERVE LTD
SVLL	SHREE VASU LOGISTICS LTD
SYNCOMF	SYNCOM FORMU (I) LTD
TAKE	TAKE SOLUTIONS LTD
TCIFINANCE	TCIFINANCELTD-ROLL SETT
TEAMGTY	TEAM INDIA GUARANTY LTD
TECILCHEM	TECIL CHEMICALS
TERASOFT	TERA SOFTWARE LIMITED
TFL	TRANSWARRANTY FIN. LTD.
THOMASCOTT	THOMAS SCOTT (INDIA) LTD
TICL	TWAMEV CONS AND INFRA LTD
TIJARIA	TIJARIA POLYPIPES LTD
TIL	TIL LTD
TNPETRO	TAMILNADU PETROPRODUCTS L
TNTELE	TAMILNADU TELECOMMUNICATI
TPHQ	TEAMO PRODUCTIONS HQ LTD
TRU	TRUCAP FINANCE LIMITED
TTL	T T LIMITED
TTML	TATA TELESERV(MAHARASTRA)
TVSELECT	TVS ELECTRONICS LTD
UMAEXPORTS	UMA EXPORTS LIMITED
UNIINFO	UNIINFO TELECOM SERVI LTD
UNIMECH	UNIMECH AEROSPACE N MFG L
UNITEDPOLY	UNITED POLYFAB GUJ. LTD.
UNIVPHOTO	UNIVERSUS IMAGINGS LTD
URAVIDEF	URAVI DEFENCE &TECH LTD
VALIANTORG	VALIANT ORGANICS LIMITED
VASWANI	VASWANI IND LTD
VCL	VAXTEX COTFAB LIMITED
VENUSREM	VENUS REMEDIES LIMITED
VHLTD	VICEROY HOTELS LIMITED
VIJIFIN	VIJI FINANCE LIMITED
VINEETLAB	VINEET LABORATORIES LTD
VINYLINDIA	VINYL CHEMICALS (I) LTD.
VIRINCHI	VIRINCHI LIMITED
VISAKAIND	VISAKA INDUSTRIES LTD
VISASTEEL	VISA STEEL LIMITED
WALCHANNAG	WALCHANDNAGAR INDUSTRIES
WELINV	WELSPUN INV & COMM LTD
YAARI	YAARI DIGI INT SER LTD
ZEELEARN	ZEE LEARN LIMITED
ZENITHSTL	ZENITH STEEL PIP IND LTD
ZODIAC	ZODIAC ENERGY LIMITED
ANKITMETAL	ANKIT MET & POW LTD
ANSALAPI	ANSAL PROP & INFRA LTD
CEREBRAINT	CEREBRA INT TECH LTD
FEL	FUTURE ENTERPRISES LTD
FELDVR	FUTURE ENTERPRISES LTD
GAYAPROJ	GAYATRI PROJECTS LTD
GOENKA	GOENKA DIAMOND&JEWELS LTD
GOLDENTOBC	GOLDEN TOBACCO LIMITED
HDIL	HOUSING DEV & INFRA LTD
HMT	HMT LTD -
IL&FSENGG	IL&FS ENG AND CONS CO LTD
IL&FSTRANS	IL&FS TRANS NET LTD
IMPEXFERRO	IMPEX FERRO TECH LIMITED
MEP	MEP INFRA. DEVELOPERS LTD
MORARJEE	MORARJEE TEXTILES LIMITED
OMKARCHEM	OMKAR SPL CHEM LTD
ORTEL	ORTEL COMMUNICATIONS LTD
ROLTA	ROLTA INDIA LTD
SANWARIA	SANWARIA CONSUMER LIMITED
SITINET	SITI NETWORKS LIMITED
SRPL	SHREE RAM PROTEINS LTD.
SUPREMEINF	SUPREME INFRA. LTD
UNITECH	UNITECH LIMITED
WINSOME	WINSOME YARNS LIMITED
ABHAPOWER	ABHA POWER N STEEL LTD
ACCENTMIC	ACCENT MICROCELL LIMITED
AESTHETIK	AESTHETIK ENGINEERS LTD
AKANKSHA	AKANKSHA POWER N INFRA L
AKIKO	AKIKO GLOBAL SERVICES L
ALUWIND	ALUWIND INFRA-TECH LTD
AMCL	ANB METAL CAST LIMITED
ANLON	ANLON TECHNOLOGY SOL LTD
APRAMEYA	APRAMEYA ENGINEERING LTD
APS	AUSTRALIAN PREM SOLAR I L
ARCIIL	ARC INSULATION & INSU LTD
ARVINDPORT	ARVIND PORT AND INFRA LTD
ASLIND	ASL INDUSTRIES LIMITED
AUSL	ADITYA ULTRA STEEL LTD
AVSL	AVSL INDUSTRIES LIMITED
BARFLEX	BARFLEX POLYFILMS LIMITED
BIKEWO	BIKEWO GREEN TECH LIMITED
BIRDYS	GRILL SPLENDOUR SER LTD
BULKCORP	BULKCORP INTERNATIONAL L
CELLECOR	CELLECOR GADGETS LIMITED
CHAMUNDA	CHAMUNDA ELECTRICAL LTD
CHANDAN	CHANDAN HEALTHCARE LTD
CONNPLEX	CONNPLEX CINEMAS LIMITED
DESTINY	DESTINY LOGISTICS & I LTD
DHARIWAL	DHARIWALCORP LIMITED
EFACTOR	E FACTOR EXPERIENCES LTD
EFFWA	EFFWA INFRA & RESEARCH L
EMKAYTOOLS	EMKAY TAP & CUT. TOOL LTD
ENSER	ENSER COMMUNICATIONS LTD
ESCONET	ESCONET TECHNOLOGIES LTD
FALCONTECH	FALCON TECHNOPROJ IND LTD
FIDEL	FIDEL SOFTECH LIMITED
FORCAS	FORCAS STUDIO LIMITED
FORGEAUTO	FORGE AUTO INTERNATION L
GIRIRAJ	GIRIRAJ CIVIL DEVP LTD
GPECO	GP ECO SOLUTIONS INDIA L
GSMFOILS	GSM FOILS LIMITED
GSTL	GLOBESECURE TECHNO LTD
HOACFOODS	HOAC FOODS INDIA LIMITED
HPTL	HP TELECOM INDIA LIMITED
INNOMET	INNOMET ADVANCED MATERI L
IWARE	IWARE SUPPLYCHAIN SER LTD
JAINIK	JAINIK POWER CABLES LTD
JALAN	JALAN TRANSOLU. INDIA LTD
KANDARP	KANDARP DG SMART BPO LTD
KONSTELEC	KONSTELEC ENGINEERS LTD
KOTYARK	KOTYARK INDUSTRIES LTD
LLOYDS	LLOYDS LUXURIES LIMITED
LRRPL	LEAD REC AND RUB PROD LTD
MADHAVBAUG	VAIDYA SANE AYUR LAB LTD
MASON	MASON INFRATECH LIMITED
MASTER	MASTER COMPONENTS LIMITED
MAXVOLT	MAXVOLT ENERGY INDUS L
MEDIORG	MEDICAMEN ORGANICS LTD
MEDISTEP	MEDISTEP HEALTHCARE LTD
MONOLITH	MONOLITHISCH INDIA LTD
MRIL	MAHENDRA REALTO & INFRA L
MVKAGRO	M.V.K. AGRO FOOD PROD LTD
NEPHROCARE	NEPHRO CARE INDIA LIMITED
OBSCP	OBSC PERFECTION LIMITED
ONDOOR	ON DOOR CONCEPTS LIMITED
ORIANA	ORIANA POWER LIMITED
OSELDEVICE	OSEL DEVICES LIMITED
PARAMOUNT	PARAMOUNT DYE TEC LIMITED
PHANTOMFX	PHANTOM DIGITAL EFF LTD
POLYSIL	POLYSIL IRRIGATION SYST L
PPSL	PICTUREPOST STUDIOS LTD
PRAMARA	PRAMARA PROMOTIONS LTD
PRECISION	PRECISION METALIKS LTD
PRIZOR	PRIZOR VIZTECH LIMITED
PROLIFE	PROLIFE INDUSTRIES LTD
PURPLEUTED	PURPLE UNITED SALES LTD
RBMINFRA	RBM INFRACON LIMITED
REXPIPES	REX PIPES AND CABLES LTD
RILINFRA	RACHANA INFRA LTD
SAAKSHI	SAAKSHI MEDTEC N PANELS L
SADHAV	SADHAV SHIPPING LIMITED
SATKARTAR	SAT KARTAR SHOPPING LTD
SAWALIYA	SAWALIYA FOOD PRODUCTS L
SOLEX	SOLEX ENERGY LIMITED
STUDIOLSD	STUDIO LSD LIMITED
SWARAJ	SWARAJ SUITING LIMITED
SYNOPTICS	SYNOPTICS TECHNOLOGIES L
TECHERA	TECHERA ENGINEER (IND) L
TGL	TEERTH GOPICON LIMITED
TROM	TROM INDUSTRIES LIMITED
USASEEDS	UPSURGE SEEDS OF AGRI LTD
VDEAL	VDEAL SYSTEM LIMITED
VERTEXPLUS	VERTEXPLUS TECHNOLOGIES L
VILAS	VILAS TRANSCORE LIMITED
VISAMAN	VISAMAN GLOBAL SALES LTD
VIVIANA	VIVIANA POWER TECH LTD
VOLERCAR	VOLER CAR LIMITED
WINSOL	WINSOL ENGINEERS LIMITED
PERFECT	PERFECT INFRAENGINEER LTD
CALSOFTPP	CALSOFT RS.2.50 PPD UP
 	 
 	OTHER SECURITIES
971SCL28	SEC RE NCD 9.71% SR.VIII
SCLZC26B	SEC RE NCD SR VI
SGBAPR28I	2.50%GOLDBONDS2028SR-I
SGBAUG27	2.50%GOLDBONDS2027SR-III
SGBAUG28V	2.50%GOLDBONDS2028SR-V
SGBAUG29V	2.50%GOLDBONDS2029SR-V
SGBAUG30	2.50%GOLDBONDS2030SR-II
SGBD29VIII	2.50%GOLDBONDS2029SR-VIII
SGBDC27VII	2.50%GOLDBONDS2027SR-VII
SGBDE30III	2.50%GOLDBONDS2030SR-III
SGBDE31III	2.50%GOLDBONDS2031SR-III
SGBDEC25	2.50%GOLDBONDS 2025 SR-X
SGBDEC2512	2.50%GOLDBONDS2025 SR-XII
SGBDEC2513	2.50%GOLDBONDS2025SR-XIII
SGBDEC26	2.50%GOLDBONDS2026SR-IV
SGBFEB27	2.50%GOLDBONDS2027SR-VI
SGBFEB28IX	2.50%GOLDBONDS2028SR-IX
SGBFEB29XI	2.50%GOLDBONDS2029SR-XI
SGBFEB32IV	2.50%GOLDBONDS2032SR-IV
SGBJAN27	2.50%GOLDBONDS2027SR-V
SGBJAN29IX	2.50%GOLDBONDS2029SR-IX
SGBJAN29X	2.50%GOLDBONDS2029SR-X
SGBJAN30IX	2.50%GOLDBONDS2030SR-IX
SGBJU29III	2.5%GOLDBONDS2029SR-III
SGBJUL28IV	2.50%GOLDBONDS2028SR-IV
SGBJUL29IV	2.50%GOLDBONDS2029SR-IV
SGBJUN27	2.50%GOLDBONDS2027SR-I
SGBJUN28	2.5%GOLDBONDS2028SR-III
SGBJUN29II	2.5%GOLDBONDS2029SR-II
SGBJUN30	2.50%GOLDBONDS2030SR-I
SGBJUN31I	2.50%GOLDBONDS2031SR-I
SGBMAR28X	2.50%GOLDBONDS2028SR-X
SGBMAR30X	2.50%GOLDBONDS2030SR-X
SGBMAR31IV	2.50%GOLDBONDS2031SR-IV
SGBMAY26	2.50%GOLDBONDS2026SR-I
SGBMAY28	2.50%GOLDBONDS2028SR-II
SGBMAY29I	2.5%GOLDBONDS2029SR-I
SGBMR29XII	2.50%GOLDBONDS2029SR-XII
SGBN28VIII	2.5%GOLDBONDS2028SR-VIII
SGBNOV25	2.50% GOLDBONDS2025SR-VII
SGBNOV258	2.50%GOLDBONDS2025SR-VIII
SGBNOV25VI	2.50% GOLDBONDS2025SR-VI
SGBNOV26	2.50%GOLDBONDS2026SR-III
SGBNV29VII	2.5%GOLDBONDS2029SR-VII
SGBOC28VII	2.50%GOLDBONDS2028SR-VII
SGBOCT25	2.50% GOLDBONDS2025SR-III
SGBOCT25IV	2.50% GOLDBONDS2025SR-IV
SGBOCT25V	2.50% GOLDBONDS2025SR-V
SGBOCT27	2.50%GOLDBONDS2027SR-V
SGBOCT27VI	2.50%GOLDBONDS2027SR-VI
SGBSEP27	2.50%GOLDBONDS2027SR-IV
SGBSEP28VI	2.50%GOLDBONDS2028SR-VI
SGBSEP29VI	2.5%GOLDBONDS2029SR-VI
SGBSEP31II	2.50%GOLDBONDS2031SR-II
1018GS2026	GOI LOAN 10.18% 2026
563GS2026	GOI LOAN  5.63% 2026
574GS2026	GOI LOAN  5.74% 2026
579GS2030	GOI LOAN 5.79% 2030
633GS2035	GOI LOAN  6.33% 2035
667GS2050	GOI LOAN  6.67% 2050
668GS2040	GOI LOAN  6.68% 2040
676GS2061	GOI LOAN  6.76% 2061
679GS2031	GOI LOAN   6.79% 2031
690GS2065	GOI LOAN  6.90% 2065
692GS2039	GOI LOAN   6.92% 2039
699GS2026	GOI LOAN  6.99% 2026
699GS2051	GOI LOAN  6.99% 2051
702GS2027	GOI LOAN  7.02% 2027
702GS2031	GOI LOAN  7.02% 2031
704GS2029	GOI LOAN  7.04% 2029
706GS2028	GOI LOAN  7.06% 2028
709GS2054	GOI LOAN  7.09% 2054
709GS2074	GOI LOAN   7.09% 2074
710GS2029	GOI LOAN 7.10% 2029
716GS2050	GOI LOAN 7.16% 2050
717GS2030	GOI LOAN  7.17% 2030
718GS2033	GOI LOAN  7.18% 2033
718GS2037	GOI LOAN  7.18% 2037
724GS2055	GOI LOAN  7.24% 2055
725GS2063	GOI LOAN  7.25% 2063
726GS2032	GOI LOAN  7.26% 2032
726GS2033	GOI LOAN  7.26% 2033
732GS2030	GOI LOAN  7.32% 2030
733GS2026	GOI LOAN  7.33% 2026
734GS2064	GOI LOAN  7.34% 2064
736GS2052	GOI LOAN  7.36% 2052
737GS2028	GOI LOAN  7.37% 2028
738GS2027	GOI LOAN 7.38% 2027
73GS2053	GOI LOAN  7.3% 2053
741GS2036	GOI LOAN  7.41% 2036
746GS2073	GOI LOAN  7.46% 2073
74GS2062	GOI LOAN  7.4% 2062
754GS2036	GOI LOAN  7.54% 2036
817GS2044	GOI LOAN 8.17% 2044
92GS2030	GOI LOAN 9.20% 2030
113ESFB31	ESFB 11.3% 2031 SR 2
12VCCL29A	VCCL12% 2029
12VCCL29B	VCCL 12% 2029
930APMD28	APMD 9.30% 2028 STRPP B
930APMD30	APMD 9.30% 2030 STRPP D
930APMD34	APMDC 9.30% 2034 STRPP H
935TSIIC33	TSIIC 9.35% 2033 SR 1- G
965SCL25C	SEC RE NCD 9.39% SR.VIII
IMC1	SEC RE NCGB 8.25% STRPP A
1003SCL31A	SEC RE NCD 10.03% SR X
1015SCL29T	SCL 10.15% 2029 SR VII
1015UCL26	SEC RE NCD 10.15% SR I
1025UCL26A	SEC RE NCD 10.25% SR II
78ABCL33	ABCL 7.8% SR V
79NHIT35	SEC RE NCD 7.90% STRPP A
885IHL26	SEC RE NCD 8.85% SR I
89IHFL29	SEC RE NCD 8.90% SR VI
902SCL28	SCL 9.02% SR V
925AEL26	SEC RE NCD 9.25% SR I
960ISFL25	SEC RE NCD 9.60% SR 2
971SCL29B	SEC RE NCD 9.71% SR VIII
971SCL30	SCL 9.71% SR VIII
SCL25924A	SEC RE NCD SR III
764NABAR31	7.64% TAX FREE TRI SRIIB
79NHIT40	SEC RE NCD 7.90% STRPP B
82HUDCO27	8.20 NCD05MAR27 FV 1000
830NHAI27	BOND 8.30% PA TAX FREE S2
9MMFSML	9.00% UNSECURED NCD
9SCL27	SCL 9.00% 2027 SR I
79NHIT47	SEC RE NCD 7.90% STRPP C
935PEL33	SEC RE NCD 9.35% SR IV
M&MFIN	UNSECURED NCD
1003ISFL28	SEC RE NCD 10.03% SR 5
10IIFL28	UNSEC RE NCD 10% SR.I
840CIFCL28	SEC RE NCD 8.40% SR.V
891IIFCL34	8.91% TAX FREE NCD
965AEL27	SEC RE NCD 9.65% SR IV
751HUDCO28	7.51 NCD 16FEB28 TR1 SR2
805ABCL28	ABCL 8.05% SR III
888ERFL28	SEC RED NCD 8.88% SR. V
935LTF29	SE RE NCD 9.35% SR.V OP2
957NIDO26	SEC RED NCD 9.57% SR. V
96IIFL28	UNSEC RE NCD 9.60% SR.II
10IIFL29	UNSEC RED NCD 10.0% SR. V
875NHAI29	8.75% TAX FREE TR I S IIB
880IREDA34	IREDA 8.80NCDTR I SR IIIB
901NHB34	BOND 9.01%PA TF TR-I S 3B
956AEL29	SEC RE NCD 9.56% SR VI
965IFSL26	SEC RE NCD 9.65% SR.III
IIFLZC28C	UNSEC RE NCD 0% SR.III
SCL01825	SCL 0% 2027 SR III
714NHAI26	TAX FREE7.14% SR.IA
898LTF29	SERENCD 8.98% SR.VI OP2
990SCL26	SEC RE NCD 9.90% SR IV
99AEL29	SEC RE NCD 9.90% SR VII
1102NFL26	SEC RE NCD 11.02% SR.V
739NHAI26	TAX FREE7.39% SR.IB
764HUDCO31	7.64% TAX FREETRI SR2B
81TCHF28	SEC RED NCD 8.10% SR.IV
865TCAPS27	SERENCD8.65%SR.IIICIII&IV
875PCHFL26	SEC RE NCD 8.75% SR.IV
892PFCL33	8.92% TAX FREE NCD
871REC28	BOND 8.71% TAX FREE S2B
895AEL27	AEL 8.95% 2027 SR I
CIFC26A	SEC RE NCD SR 4
1035UCL26	SEC RE NCD 10.35% SR III
76NHAI31	TAX FREE7.60% SR.IIB
84CIFCL28	SEC RE NCD 8.40% SR 5
84TCHF28	SEC RED NCD 8.40% SR.V
865IRFC29	BOND 8.65% PA TF TI-SIIB
910TCAP28	UNSERENCD9.1%SRIIICIII&IV
AEL17725	AEL 0% 2027 SR II
10IIFLSF27	SEC RE NCD 10.00% SR IV
885AEL28	AEL 8.85% 2028 SR III
96SFIL24A	SERENCD8.84%SRVICIII&IV
CIFC28	SEC RE NCD SR 6
TCHF30	UN SE RE NCD 8.55% SR.VI
1065NFL27	SEC RE NCD 10.65% SR.IV
753NTPC30E	TFB 7.53% 2030 SR. 2B
915AEL28	AEL 9.15% 2028 SR IV
10UCL26	UCL 10.00% SR I
76IGT26	SEC RE NCD 7.60% SR.II
876HUDCO28	8.76% TAX FREETRI SR2B
92SFIL28	SERENCD9.20%SRVIICIII&IV
970CAGL28	SEC RE NCD 9.70% SR VII
10IIFL28A	UNSE RE NCD 10% SR.I
769NHAI31	TAX FREE 7.69% SR. IIB
850CIFCL26	SEC RE NCD 8.50% SR 3
888IRFC29	BOND 8.88% PA TF TII-SIIB
901HUDCO34	9.01% TAX FREETRII SR3B
915SCL26	UNS RED NCD 9.15% SR.IX
9AEL30	AEL 9% 2030 SR VI
1015UCL27	UCL 10.15% SR III
888REC29	BOND8.88% PA TF TR II S2B
905LTF27	SERENCD 9.05% SR.VI OPII
930AEL30	AEL 9.3% 2030 SR VII
965SCL25A	SEC RE NCD 9.65% SR I
96IIFL28A	UNSE RE NCD 9.6% SR.II
860CIFCL28	SEC RE NCD 8.60% SR 5
IIFLZC28	UNSE RE NCD 0% SR.III
87LTF27	SERENCD 8.70% SR.VII OPII
732IRFC25	TAX FREE  7.32% SR. 102 A
753IRFC30	TAX FREE  7.53% SR. 103 A
82IGT31	SEC RE NCD 8.20% SR.V
750IRFC35	TAX FREE7.50% SR.104 A
842IIFL26	SEC RE NCD 8.42% SR.V
875IIFL26	SEC RE NCD 8.75% SR.VI
729IRFC26	TAX FREE  7.29% SR. 107A
865LTF26	SERENCD 8.65% SR.VI OP12
948SCL26A	SEC RE NCD 9.48% SR V
764IRFC31	TAX FREE  7.64% SR. 108A
985SFIL28	SEC RE NCD 9.85% SR.VIII
1015ECL29	SEC RED NCD 10.15% SR. VI
865IIFL28	SEC RE NCD 8.65% SR.V
971SCL28A	SEC RE NCD 9.71% SR VIII
9IIFL28A	SEC RE NCD 9% SR.VI
IIFLZC28A	SEC RE NCD 0% SR.VII
1003SCL30A	SEC RE NCD 10.03% SR X
1003SFIL28	SEC RE NCD 10.50% SR.VII
890SFIL23A	SEC RE NCD 10.03% SR.VIII
965SCL25F	SEC RE NCD 10.25% SR XII
AARTISURF	AARTI SURFACTANTS LIMITED
RADIOCITY	MUSIC BROADCAST LIMITED
743PN48	SDL PN 7.43% 2048
758GA37A	SDL GA 7.58% 2037
768UP34A	SDL UP 7.68% 2034
773UP35	SDL UP 7.73% 2035
785BR32A	SDL BR 7.85% 2032
182D311025	GOI TBILL 182D-31/10/25
364D031025	GOI TBILL 364D-03/10/25
364D040925	GOI TBILL 364D-04/09/25
91D091025	GOI TBILL 91D-09/10/25
91D180925	GOI TBILL 91D-18/09/25
91D201125	GOI TBILL 91D-20/11/25
9IIFL28	SEC RE NCD 9% SR.VI
SCLZC26G	SEC RE NCD SR VI
930SFL28	SEC RED NCD 9.30% SR. II
889SCL27	SEC RE NCD 8.89% SR.VIII
0SCL27	SEC RE NCD SR VI
971SCL29	SEC RE NCD 9.71% SR VIII
894SCL25	SEC RE NCD SR.V
931SFL26	SEC RED NCD 9.31% SR.III
1025SCL34	SEC RE NCD 10.25% SR XII
97SFL26	SEC RED NCD 9.7% SR.VII
875SFL27	SEC RED NCD 8.75% SR.III
91SFL27	SEC RED NCD 9.10% SR.VI
955SCL27A	SEC RE NCD SR.V
894SCL27	SEC RE NCD 9.80% SR.VII
 	 
 	LIMITED PHYSICAL MARKET
AGARWALEYE	DR AGARWALS HEALTH CARE L
CGCL	CAPRI GLOBAL CAPITAL LTD
CHOLAFIN	CHOLAMANDALAM IN & FIN CO
DHANI	DHANI SERVICES LIMITED
ETERNAL	ETERNAL LIMITED
FIVESTAR	FIVE-STAR BUS FIN LTD
GODREJPROP	GODREJ PROPERTIES LTD
INDIGRID	INDIGRID INFRASTRUCT TRST
KIMS	KRISHNA INST OF MED SCI L
KOLTEPATIL	KOLTE PATIL DEV. LTD.
KOTAKBANK	KOTAK MAHINDRA BANK LTD
LEMONTREE	LEMON TREE HOTELS LTD
MANAPPURAM	MANAPPURAM FINANCE LTD
OBEROIRLTY	OBEROI REALTY LIMITED
SHRIRAMFIN	SHRIRAM FINANCE LIMITED
THELEELA	SCHLOSS BANGALORE LIMITED
VBL	VARUN BEVERAGES LIMITED
 	 
 	EXCHANGE TRADED FUND
ABGSEC	BIRLASLAMC - ABGSEC
ABSLBANETF	BIRLASLAMC - ABSLBANETF
ABSLLIQUID	BIRLASLAMC - ABSLLIQUID
ABSLNN50ET	BIRLASLAMC - ABSLNN50ET
ABSLPSE	BIRLASLAMC-ABSLPSE
ALPHA	KOTAKMAMC - KOTAKALPHA
ALPHAETF	MIRAEAMC - ALPHAETF
ALPL30IETF	ICICIPRAMC - ICICIALPLV
AONELIQUID	AONEAMC - AONELIQUID
AONENIFTY	AONEAMC - AONENIFTY
AONETOTAL	AONEAMC - AONETOTAL
AUTOBEES	NIPPONAMC - NETFAUTO
AUTOIETF	ICICIPRAMC - ICICIAUTO
AXISBNKETF	AXISAMC - AXISBNKETF
AXISBPSETF	AXISAMC - AXISBPSETF
AXISCETF	AXISAMC - AXISCETF
AXISGOLD	AXIS MF - AXIS GOLD ETF
AXISHCETF	AXISAMC - AXISHCETF
AXISILVER	AXISAMC - AXISILVER
AXISNIFTY	AXISAMC - AXISNIFTY
AXISTECETF	AXISAMC - AXISTECETF
AXISVALUE	AXISAMC - AXISVALUE
AXSENSEX	AXISAMC - AXSENSEX
BANKBEES	NIP IND ETF BANK BEES
BANKBETF	BFAM - BANKBETF
BANKETF	MIRAEAMC - BANKETF
BANKETFADD	DSPAMC - DSPBANKETF
BANKIETF	ICICIPRAMC - IPRU5008
BANKNIFTY1	KOTAKMAMC-KOTAKBKETF
BANKPSU	MIRAEAMC - BANKPSU
BBETF0432	EDELAMC - BBETF0432
BBNPNBETF	BARODABNP - BBNPNBETF
BBNPPGOLD	BARODABNP - BBNPPGOLD
BFSI	MIRAEAMC - MAFSETF
BSE500IETF	ICICIPRAMC - ICICI500
BSLGOLDETF	ADITYBIRLA SL GOLD ETF-GR
BSLNIFTY	ADITYBIRLA SL NIF ETF-GR
BSLSENETFG	BIRLASLAMC - BSLSENETFG
CASHIETF	ICICIPRAMC - CASHIETF
COMMOIETF	ICICIPRAMC - ICICICOMMO
CONS	KOTAKMAMC - KOTAKCONS
CONSUMBEES	NIP IND ETF CONSUMPTION
CONSUMER	MIRAEAMC - CONSUMER
CONSUMIETF	ICICIPRAMC - ICICICONSU
CPSEETF	CPSE ETF
DIVOPPBEES	NIP IND ETF DIV OPP
EBANKNIFTY	EDELAMC - EBANKNIFTY
EBBETF0430	EDELAMC - EBBETF0430
EBBETF0431	EDELAMC - EBBETF0431
EBBETF0433	EDELAMC - EBBETF0433
ECAPINSURE	EDELAMC - ECAPINSURE
EGOLD	EDELAMC - EGOLD
EMULTIMQ	EDELAMC - EMULTIMQ
EQUAL200	MIRAEAMC - EQUAL200
EQUAL50	MIRAEAMC - EQUAL50
EQUAL50ADD	DSPAMC - DSPNEWETF
ESG	MIRAEAMC - MAESGETF
ESILVER	EDELAMC - ESILVER
EVIETF	ICICIPRAMC - EVIETF
EVINDIA	MIRAEAMC - EVINDIA
FINIETF	ICICIPRAMC-ICICIFIN
FMCGIETF	ICICIPRAMC - ICICIFMCG
GILT5YBEES	RELCAPAMC - NETFGILT5Y
GOLD1	KOTAK GOLD ETF
GOLD360	360ONEAMC - GOLD360
GOLDBEES	NIP IND ETF GOLD BEES
